PCPT,MAX_T,MIN_T,AVG_T,SMOKE,PM10,AQI,SO2,O3,City,DATE,AQI_BUCKET,,
0.01,73,63,68,1,17.4,16,6,22,Davis Island,11/15/2013,GOOD,,
0,79,65,72,0,17.6,16,7,44,Davis Island,12/28/2013,GOOD,,
0.32,70,59,64.5,0,18.9,16,1,44,Davis Island,1/27/2014,GOOD,,
,76,62,69,0,19.4,16,9,68,Davis Island,1/13/2015,GOOD,,
,88,78,83,0,14.1,16,2,42,Davis Island,7/19/2015,GOOD,,
0.09,88,74,81,0,14.8,16,1,49,Davis Island,8/7/2015,GOOD,,
0.29,90,77,83.5,0,7.6,16,3,46,Davis Island,8/9/2015,GOOD,,
1.17,92,76,84,0,15.6,16,1,45,Davis Island,8/18/2015,GOOD,,
0,96,79,87.5,0,10.5,16,2,45,Davis Island,8/20/2015,GOOD,,
0,84,72,78,0,20.4,16,2,54,Davis Island,12/18/2016,GOOD,,
0,93,77,85,0,19.8,16,3,27,Davis Island,6/27/2017,GOOD,,
0,87,77,82,0,16.3,16,4,42,Davis Island,7/1/2017,GOOD,,
0.47,91,75,83,0,25.3,16,1,31,Davis Island,7/11/2017,GOOD,,
0,92,77,84.5,1,18.1,16,,30,Davis Island,7/10/2018,GOOD,,
0,92,78,85,0,19,16,,35,Davis Island,7/12/2018,GOOD,,
0.14,91,79,85,0,18.8,16,,41,Davis Island,7/13/2018,GOOD,,
,85,68,76.5,0,29.9,16,,52,Davis Island,11/4/2019,GOOD,,
0.26,91,73,82,1,17.7,16,,37,Davis Island,5/28/2020,GOOD,,
0,93,83,88,1,25.8,16,,27,Davis Island,7/12/2020,GOOD,,
0.52,94,77,85.5,1,30.4,16,,39,Davis Island,7/18/2020,GOOD,,
0.32,94,77,85.5,1,25.4,16,,42,Davis Island,7/19/2020,GOOD,,
0,96,81,88.5,0,21,16,,51,Davis Island,8/25/2020,GOOD,,
,93,78,85.5,0,18.1,16,,40,Davis Island,9/11/2020,GOOD,,
0,86,68,77,0,26.1,16,,30,Davis Island,10/2/2020,GOOD,,
0.83,72,57,64.5,0,12.3,16,,34,Davis Island,2/7/2021,GOOD,,
0.17,72,59,65.5,0,9.2,17,4,21,Davis Island,2/5/2011,GOOD,,
0,90,78,84,0,31.5,17,52,39,Davis Island,7/12/2011,GOOD,,
0.19,88,75,81.5,0,21,17,5,44,Davis Island,9/25/2011,GOOD,,
2.13,86,76,81,0,26.8,17,4,28,Davis Island,8/27/2012,GOOD,,
0,76,61,68.5,0,22.1,17,3,24,Davis Island,1/2/2013,GOOD,,
0.1,91,73,82,0,12.2,17,3,28,Davis Island,7/5/2013,GOOD,,
0,87,72,79.5,0,17.5,17,0,43,Davis Island,11/7/2015,GOOD,,
0,91,80,85.5,0,20.2,17,11,67,Davis Island,6/14/2016,GOOD,,
0.17,90,77,83.5,1,32.3,17,2,42,Davis Island,6/30/2016,GOOD,,
0,89,76,82.5,0,18.8,17,1,56,Davis Island,6/17/2017,GOOD,,
0.15,91,78,84.5,0,17,17,4,41,Davis Island,7/9/2017,GOOD,,
1.29,92,74,83,0,28.4,17,,45,Davis Island,8/28/2018,GOOD,,
0.34,83,70,76.5,0,15.1,17,,41,Davis Island,4/9/2019,GOOD,,
0.73,88,71,79.5,0,30.6,17,,40,Davis Island,4/14/2019,GOOD,,
0,85,61,73,0,10.1,17,,48,Davis Island,4/23/2019,GOOD,,
0.52,82,68,75,0,24.7,17,,38,Davis Island,4/20/2020,GOOD,,
,89,73,81,0,14.4,17,,26,Davis Island,5/29/2020,GOOD,,
,94,80,87,0,35.1,17,,44,Davis Island,7/14/2020,GOOD,,
0.04,95,74,84.5,0,21,17,,37,Davis Island,7/16/2020,GOOD,,
0.27,89,76,82.5,0,26.3,17,,29,Davis Island,7/23/2020,GOOD,,
0.74,93,77,85,1,14.4,17,,39,Davis Island,8/29/2020,GOOD,,
0.22,79,77,78,0,17.3,17,,30,Davis Island,9/13/2020,GOOD,,
0.05,88,75,81.5,0,,17,,,Davis Island,7/1/2021,GOOD,,
0,93,78,85.5,0,,17,,,Davis Island,7/20/2021,GOOD,,
0,91,74,82.5,0,,17,,,Davis Island,10/23/2021,GOOD,,
0,84,72,78,0,16.9,18,8,26,Davis Island,3/27/2011,GOOD,,
0,84,66,75,0,21.2,18,8,38,Davis Island,10/27/2011,GOOD,,
0,83,63,73,0,14.8,18,4,34,Davis Island,11/14/2011,GOOD,,
0,87,71,79,0,30,18,3,27,Davis Island,5/8/2012,GOOD,,
0,71,55,63,0,17.3,18,4,43,Davis Island,12/13/2012,GOOD,,
0.04,87,74,80.5,0,12.7,18,3,51,Davis Island,7/19/2013,GOOD,,
0,80,64,72,0,21.9,18,6,28,Davis Island,11/8/2013,GOOD,,
0,60,37,48.5,0,21.2,18,5,48,Davis Island,1/8/2014,GOOD,,
0,77,68,72.5,0,24.5,18,6,43,Davis Island,2/5/2014,GOOD,,
0,88,74,81,0,19.5,18,2,37,Davis Island,4/30/2014,GOOD,,
0.19,88,78,83,0,10.2,18,6,57,Davis Island,7/24/2014,GOOD,,
0,79,65,72,1,25.2,18,3,46,Davis Island,12/6/2014,GOOD,,
1.9,88,69,78.5,0,14.5,18,1,64,Davis Island,4/5/2015,GOOD,,
0.39,89,79,84,0,14.1,18,1,33,Davis Island,7/20/2015,GOOD,,
0.03,92,77,84.5,0,11.4,18,5,44,Davis Island,8/19/2015,GOOD,,
0,87,69,78,0,32.9,18,0,47,Davis Island,11/17/2015,GOOD,,
0.13,83,75,79,0,23,18,1,54,Davis Island,11/19/2015,GOOD,,
0,84,61,72.5,0,17.7,18,5,51,Davis Island,12/21/2015,GOOD,,
0.32,81,68,74.5,0,15.1,18,1,54,Davis Island,1/22/2017,GOOD,,
1.09,88,74,81,0,18.7,18,4,53,Davis Island,6/13/2017,GOOD,,
0,93,76,84.5,0,16.6,18,8,41,Davis Island,10/6/2017,GOOD,,
0.01,87,75,81,0,12.7,18,,28,Davis Island,10/8/2018,GOOD,,
,86,66,76,0,18.2,18,,57,Davis Island,11/11/2018,GOOD,,
0.02,81,68,74.5,0,23.6,18,,49,Davis Island,4/10/2019,GOOD,,
0,87,71,79,0,28.5,18,,45,Davis Island,4/12/2019,GOOD,,
0.01,92,82,87,0,25.3,18,,37,Davis Island,8/12/2019,GOOD,,
0.51,87,77,82,0,16.3,18,,38,Davis Island,9/12/2020,GOOD,,
0.32,85,77,81,0,17.3,18,,48,Davis Island,9/14/2020,GOOD,,
0,73,51,62,0,19,18,,20,Davis Island,1/11/2021,GOOD,,
0,95,77,86,1,,18,,,Davis Island,6/28/2021,GOOD,,
0.46,87,77,82,0,,18,,,Davis Island,7/29/2021,GOOD,,
,90,74,82,0,,18,,,Davis Island,9/15/2021,GOOD,,
0.3,87,75,81,0,,18,,,Davis Island,10/25/2021,GOOD,,
0,70,58,64,0,16.9,19,8,26,Davis Island,1/3/2011,GOOD,,
1.42,68,55,61.5,1,10.8,19,17,25,Davis Island,1/21/2011,GOOD,,
0,75,67,71,0,18.8,19,9,22,Davis Island,2/2/2011,GOOD,,
0.02,87,76,81.5,1,26.1,19,18,45,Davis Island,6/29/2011,GOOD,,
0,90,81,85.5,0,16.5,19,12,45,Davis Island,7/26/2011,GOOD,,
0,88,79,83.5,0,45.4,19,8,39,Davis Island,9/4/2011,GOOD,,
0,89,78,83.5,0,21.7,19,3,51,Davis Island,9/24/2011,GOOD,,
0,82,64,73,0,21.4,19,5,40,Davis Island,12/25/2011,GOOD,,
0,79,65,72,0,15.1,19,28,32,Davis Island,2/16/2012,GOOD,,
0,88,76,82,0,19,19,6,61,Davis Island,6/4/2012,GOOD,,
0.26,88,74,81,0,28.3,19,8,77,Davis Island,6/20/2012,GOOD,,
0.22,81,75,78,0,26.1,19,7,33,Davis Island,6/23/2012,GOOD,,
0.17,91,77,84,0,23.9,19,4,25,Davis Island,8/19/2012,GOOD,,
0.01,91,74,82.5,0,29.2,19,4,51,Davis Island,8/25/2012,GOOD,,
0,90,78,84,0,12.8,19,8,36,Davis Island,9/5/2012,GOOD,,
0,76,64,70,0,19.1,19,4,52,Davis Island,11/14/2012,GOOD,,
0.11,77,61,69,1,20.8,19,4,40,Davis Island,12/10/2012,GOOD,,
0.01,77,69,73,0,21.3,19,8,44,Davis Island,12/11/2012,GOOD,,
0.01,81,68,74.5,0,17.8,19,4,41,Davis Island,12/12/2012,GOOD,,
0,83,66,74.5,0,25.8,19,10,46,Davis Island,1/11/2013,GOOD,,
