PCPT,MAX_T,MIN_T,AVG_T,SMOKE,PM10,AQI,SO2,O3,City,DATE,AQI_BUCKET,,
0,88,74,81,0,16.2,27,2,33,Davis Island,5/29/2013,GOOD,,
0.05,91,80,85.5,0,18.1,27,4,27,Davis Island,6/18/2013,GOOD,,
0.53,88,72,80,0,38.4,27,5,27,Davis Island,6/22/2013,GOOD,,
0.07,89,74,81.5,0,14.6,27,5,32,Davis Island,7/20/2013,GOOD,,
0,89,78,83.5,0,26.3,27,9,30,Davis Island,9/1/2013,GOOD,,
0.16,80,67,73.5,0,16.5,27,8,46,Davis Island,11/26/2013,GOOD,,
0.54,74,62,68,0,20.9,27,8,24,Davis Island,12/29/2013,GOOD,,
0,69,60,64.5,0,16.3,27,5,50,Davis Island,12/31/2013,GOOD,,
1.6,87,71,79,0,13.4,27,2,23,Davis Island,5/28/2014,GOOD,,
0,88,72,80,0,15.4,27,4,24,Davis Island,5/29/2014,GOOD,,
0,87,72,79.5,0,19.7,27,3,37,Davis Island,6/6/2014,GOOD,,
0.03,91,73,82,0,31.1,27,17,35,Davis Island,6/18/2014,GOOD,,
0,91,77,84,0,23.1,27,5,56,Davis Island,7/14/2014,GOOD,,
0.08,88,79,83.5,0,24.4,27,6,29,Davis Island,8/14/2014,GOOD,,
0,89,78,83.5,0,11.2,27,3,54,Davis Island,8/17/2014,GOOD,,
1.86,82,73,77.5,1,28.5,27,10,29,Davis Island,9/17/2014,GOOD,,
0,81,73,77,1,14,27,6,26,Davis Island,9/23/2014,GOOD,,
0,73,47,60,0,27.9,27,1,50,Davis Island,11/29/2014,GOOD,,
0,78,56,67,0,37,27,2,45,Davis Island,11/30/2014,GOOD,,
,71,61,66,1,28.1,27,5,51,Davis Island,2/24/2015,GOOD,,
0,65,54,59.5,0,24.7,27,3,72,Davis Island,2/27/2015,GOOD,,
0.46,94,74,84,0,21.7,27,2,39,Davis Island,5/23/2015,GOOD,,
0.19,93,73,83,0,12.4,27,1,34,Davis Island,5/31/2015,GOOD,,
0.69,92,75,83.5,0,20.7,27,21,50,Davis Island,6/18/2015,GOOD,,
0,92,77,84.5,0,21,27,1,44,Davis Island,10/1/2015,GOOD,,
0.21,83,72,77.5,0,22.2,27,3,59,Davis Island,11/20/2015,GOOD,,
0,84,68,76,0,17.5,27,2,43,Davis Island,12/1/2015,GOOD,,
0,85,63,74,0,21.5,27,6,48,Davis Island,12/12/2015,GOOD,,
0,81,70,75.5,0,28.1,27,1,60,Davis Island,1/1/2016,GOOD,,
0.72,76,63,69.5,0,16.2,27,2,48,Davis Island,3/25/2016,GOOD,,
0,91,72,81.5,1,23,27,0,44,Davis Island,5/1/2016,GOOD,,
2.78,87,76,81.5,1,25.2,27,8,45,Davis Island,6/7/2016,GOOD,,
0.25,89,78,83.5,0,26.5,27,3,44,Davis Island,6/8/2016,GOOD,,
0.44,90,77,83.5,0,9.8,27,0,38,Davis Island,8/30/2016,GOOD,,
,80,62,71,0,22.9,27,8,47,Davis Island,11/28/2016,GOOD,,
0,83,68,75.5,0,18.3,27,2,34,Davis Island,11/29/2016,GOOD,,
0,75,43,59,0,55.4,27,2,45,Davis Island,12/31/2016,GOOD,,
0,77,56,66.5,0,17.3,27,3,48,Davis Island,1/11/2017,GOOD,,
0,79,61,70,0,15.4,27,4,44,Davis Island,1/18/2017,GOOD,,
0,86,69,77.5,0,22.2,27,2,38,Davis Island,2/28/2017,GOOD,,
0,80,66,73,1,25.8,27,2,31,Davis Island,4/25/2017,GOOD,,
0.15,88,75,81.5,1,17.4,27,1,51,Davis Island,6/2/2017,GOOD,,
0,90,75,82.5,1,16.4,27,4,49,Davis Island,8/1/2017,GOOD,,
,92,78,85,0,21.1,27,2,35,Davis Island,8/5/2017,GOOD,,
0,93,83,88,0,19.3,27,4,44,Davis Island,8/15/2017,GOOD,,
,91,76,83.5,0,16.9,27,2,38,Davis Island,8/30/2017,GOOD,,
0,86,65,75.5,0,15.1,27,5,45,Davis Island,11/4/2017,GOOD,,
0,76,54,65,0,19.1,27,,30,Davis Island,12/26/2017,GOOD,,
0,61,41,51,0,19.3,27,,27,Davis Island,1/6/2018,GOOD,,
0,84,69,76.5,0,22.3,27,,41,Davis Island,2/10/2018,GOOD,,
0,88,69,78.5,0,13.4,27,,35,Davis Island,2/23/2018,GOOD,,
0,83,69,76,0,19.2,27,,31,Davis Island,4/2/2018,GOOD,,
0.23,86,73,79.5,1,12.1,27,,40,Davis Island,6/8/2018,GOOD,,
0.04,91,78,84.5,0,23.2,27,,47,Davis Island,6/19/2018,GOOD,,
0.07,90,82,86,0,16.8,27,,46,Davis Island,6/21/2018,GOOD,,
0.04,90,81,85.5,0,23,27,,37,Davis Island,7/18/2018,GOOD,,
0.37,89,72,80.5,0,22.7,27,,39,Davis Island,7/23/2018,GOOD,,
0.18,91,77,84,0,13.4,27,,41,Davis Island,7/25/2018,GOOD,,
1.08,84,71,77.5,1,18.7,27,,42,Davis Island,8/11/2018,GOOD,,
0.1,91,82,86.5,0,18,27,,38,Davis Island,8/22/2018,GOOD,,
,92,78,85,0,16.5,27,,37,Davis Island,8/23/2018,GOOD,,
1.51,92,75,83.5,0,24.6,27,,38,Davis Island,9/13/2018,GOOD,,
,95,79,87,0,49.8,27,,52,Davis Island,9/25/2018,GOOD,,
,94,78,86,1,40.6,27,,34,Davis Island,9/27/2018,GOOD,,
,93,78,85.5,0,48.5,27,,43,Davis Island,10/16/2018,GOOD,,
1.74,72,65,68.5,0,20.1,27,,61,Davis Island,12/9/2018,GOOD,,
0.24,66,56,61,0,21.6,27,,23,Davis Island,12/21/2018,GOOD,,
0.02,77,55,66,0,20.7,27,,51,Davis Island,1/12/2019,GOOD,,
0.03,76,61,68.5,0,23.4,27,,51,Davis Island,1/13/2019,GOOD,,
0,72,50,61,0,10.1,27,,42,Davis Island,1/18/2019,GOOD,,
0.64,88,75,81.5,0,30.6,27,,47,Davis Island,6/15/2019,GOOD,,
0.04,88,77,82.5,1,11.2,27,,47,Davis Island,8/18/2019,GOOD,,
0.05,92,77,84.5,0,17.3,27,,45,Davis Island,9/14/2019,GOOD,,
1.14,76,71,73.5,0,17.5,27,,25,Davis Island,10/18/2019,GOOD,,
0,74,54,64,0,20.5,27,,47,Davis Island,11/26/2019,GOOD,,
0,76,54,65,0,12,27,,57,Davis Island,12/20/2019,GOOD,,
,66,55,60.5,0,27.4,27,,43,Davis Island,12/24/2019,GOOD,,
,70,51,60.5,0,18.9,27,,51,Davis Island,1/29/2020,GOOD,,
0,73,47,60,1,30.2,27,,25,Davis Island,2/8/2020,GOOD,,
0.06,91,75,83,0,15,27,,51,Davis Island,8/21/2020,GOOD,,
0,86,69,77.5,0,18.8,27,,33,Davis Island,11/14/2020,GOOD,,
0,63,40,51.5,1,17.6,27,,23,Davis Island,12/2/2020,GOOD,,
0,83,69,76,1,14.5,27,,21,Davis Island,1/1/2021,GOOD,,
0,90,72,81,0,,27,,49,Davis Island,3/27/2021,GOOD,,
0,91,77,84,0,,27,,44,Davis Island,5/11/2021,GOOD,,
,92,79,85.5,0,,27,,,Davis Island,6/13/2021,GOOD,,
,90,78,84,0,,27,,,Davis Island,7/11/2021,GOOD,,
0,92,80,86,0,,27,,,Davis Island,8/24/2021,GOOD,,
0.02,89,80,84.5,0,,27,,,Davis Island,9/6/2021,GOOD,,
,87,78,82.5,0,,27,,,Davis Island,9/20/2021,GOOD,,
,84,65,74.5,0,,27,,,Davis Island,11/2/2021,GOOD,,
0.02,80,66,73,0,,27,,,Davis Island,12/8/2021,GOOD,,
0,80,69,74.5,0,,27,,,Davis Island,12/9/2021,GOOD,,
0,80,60,70,0,,27,,,Davis Island,12/28/2021,GOOD,,
0,82,68,75,0,,27,,,Davis Island,12/29/2021,GOOD,,
0,72,62,67,0,19.7,28,9,35,Davis Island,1/2/2011,GOOD,,
0.01,88,74,81,0,17.5,28,6,24,Davis Island,6/28/2011,GOOD,,
0.01,92,82,87,0,15.8,28,23,55,Davis Island,7/25/2011,GOOD,,
0,93,75,84,0,16.8,28,27,40,Davis Island,8/24/2011,GOOD,,
2.16,91,74,82.5,0,14.8,28,3,27,Davis Island,9/22/2011,GOOD,,
0,90,75,82.5,0,20.8,28,4,51,Davis Island,9/27/2011,GOOD,,
0,85,75,80,0,13.5,28,10,35,Davis Island,10/12/2011,GOOD,,
0,80,59,69.5,0,18.6,28,4,44,Davis Island,11/6/2011,GOOD,,
0,81,60,70.5,0,22.6,28,7,42,Davis Island,1/10/2012,GOOD,,
0,77,57,67,0,29.7,28,6,39,Davis Island,1/22/2012,GOOD,,
0.03,74,61,67.5,0,24.7,28,19,37,Davis Island,2/22/2012,GOOD,,
0,78,69,73.5,0,22.2,28,4,26,Davis Island,2/23/2012,GOOD,,
0,86,68,77,1,25,28,1,62,Davis Island,4/3/2012,GOOD,,
0,89,71,80,1,20.8,28,3,45,Davis Island,4/30/2012,GOOD,,
0.09,89,75,82,0,26.1,28,1,36,Davis Island,7/15/2012,GOOD,,
0,93,76,84.5,0,14.7,28,4,66,Davis Island,8/24/2012,GOOD,,
0.15,87,76,81.5,1,18,28,2,21,Davis Island,8/29/2012,GOOD,,
0,75,55,65,0,13,28,7,25,Davis Island,1/1/2013,GOOD,,
0,81,64,72.5,0,11.2,28,4,55,Davis Island,4/2/2013,GOOD,,
0.08,92,75,83.5,0,16,28,5,24,Davis Island,6/16/2013,GOOD,,
0.01,92,76,84,0,12.5,28,5,33,Davis Island,7/6/2013,GOOD,,
1.51,89,73,81,0,17.8,28,4,22,Davis Island,7/10/2013,GOOD,,
0,90,75,82.5,0,15.8,28,7,23,Davis Island,7/21/2013,GOOD,,
0,76,55,65.5,0,12.6,28,5,47,Davis Island,11/30/2013,GOOD,,
0,70,58,64,0,18.3,28,6,33,Davis Island,12/2/2013,GOOD,,
0,78,60,69,0,27.1,28,2,28,Davis Island,12/3/2013,GOOD,,
0,83,66,74.5,0,11.3,28,5,17,Davis Island,12/5/2013,GOOD,,
0,79,68,73.5,0,26.2,28,10,52,Davis Island,1/10/2014,GOOD,,
0,73,49,61,0,18.3,28,3,62,Davis Island,2/10/2014,GOOD,,
0,70,44,57,0,27,28,4,57,Davis Island,2/16/2014,GOOD,,
0,85,60,72.5,0,16.1,28,2,62,Davis Island,3/21/2014,GOOD,,
0.01,79,65,72,0,12,28,4,58,Davis Island,3/22/2014,GOOD,,
0,79,51,65,0,43.7,28,2,26,Davis Island,4/16/2014,GOOD,,
0,83,63,73,0,25.2,28,5,28,Davis Island,4/24/2014,GOOD,,
0,88,74,81,0,16.1,28,3,39,Davis Island,4/28/2014,GOOD,,
0,91,72,81.5,0,18.7,28,2,36,Davis Island,5/13/2014,GOOD,,
1.26,87,70,78.5,0,14.9,28,2,35,Davis Island,5/27/2014,GOOD,,
0.05,86,72,79,0,23.2,28,2,25,Davis Island,6/13/2014,GOOD,,
0,89,75,82,0,14.6,28,4,40,Davis Island,7/10/2014,GOOD,,
0,93,77,85,0,8.3,28,2,31,Davis Island,8/1/2014,GOOD,,
0.88,83,74,78.5,0,20.2,28,5,44,Davis Island,8/15/2014,GOOD,,
0,88,77,82.5,0,10.9,28,3,48,Davis Island,9/5/2014,GOOD,,
0,93,75,84,0,22.6,28,3,53,Davis Island,9/10/2014,GOOD,,
0.3,86,75,80.5,0,11.5,28,12,40,Davis Island,9/29/2014,GOOD,,
0,78,58,68,1,10.9,28,3,41,Davis Island,11/7/2014,GOOD,,
0,71,54,62.5,0,18.3,28,12,42,Davis Island,1/18/2015,GOOD,,
,74,44,59,0,14.1,28,7,28,Davis Island,2/21/2015,GOOD,,
,85,68,76.5,1,15.9,28,1,69,Davis Island,3/10/2015,GOOD,,
0,87,71,79,1,13.1,28,1,28,Davis Island,4/9/2015,GOOD,,
0,85,73,79,0,13.1,28,1,64,Davis Island,4/13/2015,GOOD,,
0.04,91,80,85.5,0,18,28,1,47,Davis Island,7/22/2015,GOOD,,
,90,76,83,1,8.7,28,0,36,Davis Island,9/5/2015,GOOD,,
0.16,83,71,77,1,16.7,28,1,40,Davis Island,10/3/2015,GOOD,,
0.01,90,71,80.5,0,21.3,28,1,46,Davis Island,10/8/2015,GOOD,,
0,91,77,84,0,28.7,28,0,50,Davis Island,11/5/2015,GOOD,,
0,87,67,77,0,30,28,1,46,Davis Island,11/16/2015,GOOD,,
0.65,78,62,70,0,25.3,28,1,59,Davis Island,1/9/2016,GOOD,,
0,82,72,77,0,35.2,28,1,55,Davis Island,3/15/2016,GOOD,,
0.11,96,75,85.5,0,12.1,28,2,49,Davis Island,7/17/2016,GOOD,,
0.09,91,77,84,0,10,28,3,52,Davis Island,8/11/2016,GOOD,,
0.02,89,76,82.5,0,17.4,28,2,28,Davis Island,9/13/2016,GOOD,,
0,90,76,83,0,11.9,28,3,32,Davis Island,9/26/2016,GOOD,,
0,90,74,82,0,17.6,28,4,44,Davis Island,9/27/2016,GOOD,,
0.33,79,69,74,0,16.1,28,4,47,Davis Island,12/6/2016,GOOD,,
,79,56,67.5,0,22.8,28,1,43,Davis Island,12/11/2016,GOOD,,
,78,64,71,0,17.9,28,1,37,Davis Island,1/13/2017,GOOD,,
0,83,59,71,0,20.8,28,2,33,Davis Island,2/20/2017,GOOD,,
0,86,60,73,0,25.4,28,2,29,Davis Island,2/27/2017,GOOD,,
0,81,64,72.5,0,24.3,28,1,33,Davis Island,3/8/2017,GOOD,,
0,85,62,73.5,1,21,28,1,37,Davis Island,3/11/2017,GOOD,,
0,93,75,84,0,18,28,2,46,Davis Island,4/28/2017,GOOD,,
0.81,98,75,86.5,0,9.8,28,1,56,Davis Island,5/19/2017,GOOD,,
0.01,93,78,85.5,1,14.3,28,1,62,Davis Island,7/19/2017,GOOD,,
0,92,77,84.5,0,22.2,28,3,30,Davis Island,8/4/2017,GOOD,,
0.06,93,79,86,0,26.5,28,2,30,Davis Island,8/6/2017,GOOD,,
,94,81,87.5,0,26.9,28,4,33,Davis Island,8/10/2017,GOOD,,
0.26,93,81,87,1,17.9,28,2,42,Davis Island,8/16/2017,GOOD,,
0,94,81,87.5,0,11.4,28,3,39,Davis Island,8/31/2017,GOOD,,
0,77,65,71,0,20.9,28,13,53,Davis Island,11/21/2017,GOOD,,
0,80,68,74,0,12.2,28,,29,Davis Island,12/21/2017,GOOD,,
0,79,58,68.5,0,11.5,28,,33,Davis Island,2/2/2018,GOOD,,
0,80,67,73.5,0,22.4,28,,45,Davis Island,2/14/2018,GOOD,,
0,82,65,73.5,1,11,28,,51,Davis Island,4/20/2018,GOOD,,
0,89,74,81.5,0,9.8,28,,39,Davis Island,6/9/2018,GOOD,,
,92,75,83.5,1,14.8,28,,35,Davis Island,8/15/2018,GOOD,,
0.2,90,77,83.5,0,18.3,28,,55,Davis Island,9/8/2018,GOOD,,
0.65,95,77,86,0,49.4,28,,29,Davis Island,9/24/2018,GOOD,,
0,85,64,74.5,0,18,28,,40,Davis Island,10/31/2018,GOOD,,
0,85,75,80,0,17.1,28,,39,Davis Island,11/13/2018,GOOD,,
0,76,53,64.5,0,22.8,28,,53,Davis Island,12/7/2018,GOOD,,
0,71,59,65,0,21.7,28,,31,Davis Island,12/16/2018,GOOD,,
0,81,67,74,0,22.2,28,,26,Davis Island,12/30/2018,GOOD,,
0,83,68,75.5,0,18.1,28,,27,Davis Island,12/31/2018,GOOD,,
0,66,44,55,0,14.5,28,,31,Davis Island,1/31/2019,GOOD,,
0,84,64,74,0,17.2,28,,47,Davis Island,2/11/2019,GOOD,,
0,88,75,81.5,0,21.8,28,,36,Davis Island,5/11/2019,GOOD,,
3.66,86,75,80.5,0,14.5,28,,28,Davis Island,7/9/2019,GOOD,,
0.27,92,72,82,0,13.5,28,,42,Davis Island,7/19/2019,GOOD,,
0.93,93,75,84,0,16.1,28,,39,Davis Island,8/19/2019,GOOD,,
,92,80,86,0,12.7,28,,38,Davis Island,8/26/2019,GOOD,,
0,84,64,74,0,28.4,28,,34,Davis Island,4/6/2020,GOOD,,
0,88,68,78,0,23.7,28,,44,Davis Island,5/14/2020,GOOD,,
,88,75,81.5,0,13.7,28,,49,Davis Island,5/26/2020,GOOD,,
2.66,83,74,78.5,0,35.5,28,,38,Davis Island,6/6/2020,GOOD,,
0.13,92,80,86,0,28.2,28,,26,Davis Island,8/2/2020,GOOD,,
0.09,92,75,83.5,1,30,28,,30,Davis Island,9/8/2020,GOOD,,
0.02,87,78,82.5,0,14.6,28,,47,Davis Island,10/10/2020,GOOD,,
0,80,65,72.5,1,12.7,28,,38,Davis Island,10/30/2020,GOOD,,
0,87,67,77,0,25.1,28,,57,Davis Island,11/5/2020,GOOD,,
0,88,69,78.5,0,19.4,28,,60,Davis Island,11/6/2020,GOOD,,
0,77,57,67,0,18.7,28,,59,Davis Island,11/19/2020,GOOD,,
0,73,53,63,0,22.2,28,,36,Davis Island,12/11/2020,GOOD,,
0.85,75,57,66,0,31.1,28,,24,Davis Island,12/16/2020,GOOD,,
0,67,56,61.5,0,17.7,28,,32,Davis Island,1/8/2021,GOOD,,
0,75,62,68.5,0,,28,,59,Davis Island,3/23/2021,GOOD,,
0,85,67,76,1,,28,,49,Davis Island,4/9/2021,GOOD,,
0,91,80,85.5,0,,28,,,Davis Island,6/19/2021,GOOD,,
3.33,91,73,82,0,,28,,,Davis Island,6/29/2021,GOOD,,
0,97,77,87,1,,28,,,Davis Island,7/16/2021,GOOD,,
0,92,80,86,0,,28,,,Davis Island,8/31/2021,GOOD,,
0,78,61,69.5,0,19.6,29,13,34,Davis Island,1/1/2011,GOOD,,
0,66,37,51.5,0,18.3,29,8,38,Davis Island,1/14/2011,GOOD,,
0,79,66,72.5,0,24.9,29,9,34,Davis Island,2/25/2011,GOOD,,
0,82,64,73,1,19.7,29,7,38,Davis Island,3/29/2011,GOOD,,
0,90,80,85,0,20.5,29,11,27,Davis Island,7/10/2011,GOOD,,
0,93,78,85.5,0,16.4,29,14,49,Davis Island,7/24/2011,GOOD,,
0.07,93,79,86,0,30,29,8,31,Davis Island,8/15/2011,GOOD,,
0,86,67,76.5,0,12.3,29,9,39,Davis Island,11/20/2011,GOOD,,
0,79,65,72,0,21.9,29,2,38,Davis Island,12/12/2011,GOOD,,
0,80,65,72.5,0,39,29,2,38,Davis Island,12/22/2011,GOOD,,
0,82,66,74,1,23.4,29,2,48,Davis Island,2/27/2012,GOOD,,
0,86,63,74.5,0,22,29,6,46,Davis Island,3/8/2012,GOOD,,
0,88,71,79.5,0,21.4,29,2,42,Davis Island,4/29/2012,GOOD,,
0,92,79,85.5,0,19.3,29,1,26,Davis Island,7/20/2012,GOOD,,
0.03,89,77,83,0,17.2,29,2,52,Davis Island,7/24/2012,GOOD,,
0,89,78,83.5,0,19.9,29,7,41,Davis Island,8/1/2012,GOOD,,
0.01,89,78,83.5,0,16.5,29,4,50,Davis Island,8/13/2012,GOOD,,
0,89,78,83.5,0,20.5,29,2,31,Davis Island,9/8/2012,GOOD,,
0.86,91,72,81.5,0,23.8,29,2,41,Davis Island,10/4/2012,GOOD,,
0,79,65,72,0,34.9,29,1,33,Davis Island,2/12/2013,GOOD,,
0,95,75,85,0,12,29,2,32,Davis Island,6/12/2013,GOOD,,
0,90,73,81.5,0,15.6,29,2,66,Davis Island,9/20/2013,GOOD,,
0,83,70,76.5,0,7.3,29,3,43,Davis Island,11/22/2013,GOOD,,
0,64,38,51,0,22.5,29,5,42,Davis Island,11/28/2013,GOOD,,
0,76,59,67.5,0,10.2,29,6,33,Davis Island,12/1/2013,GOOD,,
0,83,67,75,0,24.9,29,5,19,Davis Island,12/8/2013,GOOD,,
0.25,80,59,69.5,0,15.5,29,6,35,Davis Island,12/15/2013,GOOD,,
0,72,48,60,0,9.2,29,10,42,Davis Island,12/18/2013,GOOD,,
0.42,76,63,69.5,0,18.2,29,13,57,Davis Island,1/11/2014,GOOD,,
0,77,50,63.5,0,26.1,29,12,36,Davis Island,2/18/2014,GOOD,,
0,76,61,68.5,0,14.5,29,3,35,Davis Island,3/5/2014,GOOD,,
0,86,74,80,0,21.7,29,4,36,Davis Island,5/1/2014,GOOD,,
0,88,76,82,0,18.9,29,3,27,Davis Island,5/11/2014,GOOD,,
0,94,78,86,0,17,29,2,45,Davis Island,6/27/2014,GOOD,,
0.03,87,74,80.5,0,7.6,29,4,56,Davis Island,7/9/2014,GOOD,,
0,90,77,83.5,0,12.4,29,2,37,Davis Island,7/12/2014,GOOD,,
0.43,91,76,83.5,0,20.6,29,3,35,Davis Island,8/13/2014,GOOD,,
0,94,76,85,0,15.7,29,3,73,Davis Island,8/27/2014,GOOD,,
0,95,76,85.5,0,13.7,29,2,51,Davis Island,8/28/2014,GOOD,,
1.24,93,74,83.5,0,20,29,4,49,Davis Island,9/3/2014,GOOD,,
0,88,76,82,1,17.6,29,2,50,Davis Island,9/7/2014,GOOD,,
0.18,86,76,81,0,16.8,29,8,34,Davis Island,10/1/2014,GOOD,,
0,81,64,72.5,1,14.8,29,1,44,Davis Island,12/3/2014,GOOD,,
0,81,69,75,1,23.8,29,1,33,Davis Island,12/23/2014,GOOD,,
0,85,73,79,0,11.5,29,1,31,Davis Island,4/10/2015,GOOD,,
,89,74,81.5,0,10.3,29,3,41,Davis Island,5/13/2015,GOOD,,
0.42,84,75,79.5,0,8.8,29,1,29,Davis Island,9/7/2015,GOOD,,
0,86,74,80,0,21.3,29,6,31,Davis Island,10/26/2015,GOOD,,
0,85,71,78,0,24.9,29,1,65,Davis Island,12/27/2015,GOOD,,
0,68,50,59,0,15.8,29,1,75,Davis Island,1/30/2016,GOOD,,
0.04,81,70,75.5,1,31.3,29,1,72,Davis Island,3/14/2016,GOOD,,
0,84,63,73.5,0,23.5,29,3,39,Davis Island,3/30/2016,GOOD,,
0.04,95,78,86.5,0,16.8,29,1,36,Davis Island,8/28/2016,GOOD,,
0.2,87,73,80,0,17.5,29,9,34,Davis Island,10/3/2016,GOOD,,
0.04,76,61,68.5,0,15.7,29,2,49,Davis Island,12/15/2016,GOOD,,
0,80,52,66,1,16.1,29,1,38,Davis Island,12/22/2016,GOOD,,
0.05,81,58,69.5,0,23.6,29,1,39,Davis Island,2/23/2017,GOOD,,
0,85,69,77,0,16.2,29,2,26,Davis Island,4/1/2017,GOOD,,
0,93,78,85.5,0,9.4,29,5,32,Davis Island,5/31/2017,GOOD,,
,88,76,82,0,20.8,29,2,44,Davis Island,6/10/2017,GOOD,,
0,92,79,85.5,0,20,29,2,40,Davis Island,6/21/2017,GOOD,,
0,92,76,84,0,15.6,29,1,48,Davis Island,7/13/2017,GOOD,,
0.56,90,79,84.5,0,16.2,29,2,46,Davis Island,7/29/2017,GOOD,,
0.94,90,77,83.5,0,24.3,29,2,43,Davis Island,8/25/2017,GOOD,,
3.53,85,74,79.5,0,23.8,29,2,42,Davis Island,8/28/2017,GOOD,,
0,94,75,84.5,0,13.2,29,3,35,Davis Island,9/20/2017,GOOD,,
0,91,80,85.5,0,17.4,29,3,51,Davis Island,10/8/2017,GOOD,,
0,86,65,75.5,0,20.8,29,1,51,Davis Island,11/3/2017,GOOD,,
0.03,80,58,69,0,23.1,29,2,48,Davis Island,11/19/2017,GOOD,,
0,80,51,65.5,0,20.4,29,3,45,Davis Island,11/20/2017,GOOD,,
0,78,64,71,0,12.7,29,,25,Davis Island,12/20/2017,GOOD,,
0,57,29,43,0,15.5,29,,42,Davis Island,1/18/2018,GOOD,,
0,81,59,70,0,20.6,29,,38,Davis Island,1/21/2018,GOOD,,
0,79,61,70,0,24.2,29,,31,Davis Island,1/27/2018,GOOD,,
0,75,56,65.5,0,24.8,29,,23,Davis Island,2/3/2018,GOOD,,
0.01,82,69,75.5,0,17.7,29,,43,Davis Island,4/8/2018,GOOD,,
0,90,67,78.5,0,11.8,29,,52,Davis Island,4/21/2018,GOOD,,
0,92,72,82,1,12,29,,24,Davis Island,5/11/2018,GOOD,,
0.01,87,73,80,0,28.9,29,,30,Davis Island,5/15/2018,GOOD,,
0,91,76,83.5,0,29.5,29,,24,Davis Island,6/13/2018,GOOD,,
0.07,91,79,85,1,32,29,,44,Davis Island,6/18/2018,GOOD,,
0.02,85,77,81,0,16.8,29,,40,Davis Island,8/10/2018,GOOD,,
,90,77,83.5,0,23.4,29,,33,Davis Island,8/13/2018,GOOD,,
0.01,91,79,85,1,14.4,29,,32,Davis Island,8/14/2018,GOOD,,
0.42,90,78,84,0,25.2,29,,25,Davis Island,9/3/2018,GOOD,,
0,93,83,88,0,15.2,29,,50,Davis Island,9/15/2018,GOOD,,
0,94,79,86.5,0,25.7,29,,46,Davis Island,9/29/2018,GOOD,,
0.05,86,67,76.5,0,11.8,29,,45,Davis Island,10/25/2018,GOOD,,
0.17,87,73,80,0,11.2,29,,40,Davis Island,11/14/2018,GOOD,,
0,68,44,56,0,17.2,29,,56,Davis Island,12/12/2018,GOOD,,
1.86,76,64,70,0,30.8,29,,29,Davis Island,12/14/2018,GOOD,,
0,66,53,59.5,0,14.6,29,,23,Davis Island,12/17/2018,GOOD,,
3.52,68,63,65.5,0,30.1,29,,35,Davis Island,12/20/2018,GOOD,,
0,74,46,60,0,27.2,29,,43,Davis Island,1/11/2019,GOOD,,
0.03,79,63,71,0,17.5,29,,47,Davis Island,2/9/2019,GOOD,,
0,76,59,67.5,0,30.8,29,,48,Davis Island,4/21/2019,GOOD,,
0,86,65,75.5,0,12.7,29,,31,Davis Island,4/28/2019,GOOD,,
0.06,90,72,81,0,15.3,29,,22,Davis Island,5/1/2019,GOOD,,
1.04,91,74,82.5,1,20,29,,33,Davis Island,6/8/2019,GOOD,,
0.61,90,74,82,0,20.7,29,,45,Davis Island,6/9/2019,GOOD,,
0.34,92,79,85.5,0,34.3,29,,39,Davis Island,7/15/2019,GOOD,,
0.16,92,75,83.5,0,18.9,29,,36,Davis Island,7/20/2019,GOOD,,
0.17,87,74,80.5,1,18.6,29,,33,Davis Island,8/2/2019,GOOD,,
,92,82,87,0,19.5,29,,39,Davis Island,8/9/2019,GOOD,,
0,92,83,87.5,0,13.6,29,,29,Davis Island,8/11/2019,GOOD,,
0,95,78,86.5,0,16.6,29,,31,Davis Island,8/24/2019,GOOD,,
0,91,72,81.5,0,33.7,29,,45,Davis Island,10/4/2019,GOOD,,
0,79,52,65.5,0,19.3,29,,25,Davis Island,1/9/2020,GOOD,,
0,54,40,47,1,27.3,29,,33,Davis Island,1/21/2020,GOOD,,
0,71,48,59.5,0,21.9,29,,28,Davis Island,2/3/2020,GOOD,,
0,77,62,69.5,0,22.7,29,,44,Davis Island,2/24/2020,GOOD,,
0,78,57,67.5,0,9.5,29,,24,Davis Island,3/2/2020,GOOD,,
0,93,81,87,1,30.9,29,,38,Davis Island,6/30/2020,GOOD,,
,92,77,84.5,0,21.7,29,,26,Davis Island,8/3/2020,GOOD,,
0.06,92,80,86,1,29.5,29,,22,Davis Island,8/14/2020,GOOD,,
0.72,89,78,83.5,0,21.8,29,,59,Davis Island,8/18/2020,GOOD,,
0.23,73,52,62.5,0,15.3,29,,25,Davis Island,12/6/2020,GOOD,,
0,73,51,62,0,29.7,29,,33,Davis Island,12/22/2020,GOOD,,
0,76,53,64.5,0,20,29,,32,Davis Island,12/29/2020,GOOD,,
0,71,50,60.5,0,4.5,29,,44,Davis Island,1/21/2021,GOOD,,
0,76,63,69.5,0,16.9,29,,38,Davis Island,1/23/2021,GOOD,,
0,83,71,77,0,23.7,29,,36,Davis Island,3/1/2021,GOOD,,
0,80,63,71.5,1,16.7,29,,45,Davis Island,3/14/2021,GOOD,,
0,71,57,64,0,,29,,46,Davis Island,3/19/2021,GOOD,,
0,86,73,79.5,0,,29,,35,Davis Island,4/30/2021,GOOD,,
0,91,75,83,0,,29,,33,Davis Island,5/27/2021,GOOD,,
